wave, intensity
1171.717, 45.11152
1173.645, 44.44822
1175.574, 45.04450
1177.502, 46.27063
1179.431, 46.98547
1181.359, 46.63299
1183.287, 45.79023
1185.216, 45.42756
1187.144, 45.85059
1189.073, 45.62098
1191.001, 44.59215
1192.930, 44.03234
1194.858, 44.73142
1196.787, 45.70271
1198.715, 45.93397
1200.644, 45.68790
1202.572, 45.29071
1204.501, 44.91304
1206.429, 44.90050
1208.358, 45.43447
1210.286, 45.63231
1212.214, 45.24535
1214.143, 44.53008
1216.071, 44.30347
1218.000, 44.82814
1219.928, 45.63759
1221.857, 46.22071
1223.785, 46.42646
1225.714, 46.36894
1227.642, 46.11333
1229.571, 46.16872
1231.499, 46.96613
1233.428, 47.59992
1235.356, 47.45239
1237.285, 47.12842
1239.213, 46.78956
1241.141, 46.15038
1243.070, 45.34151
1244.998, 44.81106
1246.927, 45.00734
1248.855, 45.68524
1250.784, 46.13939
1252.712, 45.65361
1254.641, 44.08779
1256.569, 43.33697
1258.498, 44.33277
1260.426, 45.34669
1262.355, 44.79259
1264.283, 42.90213
1266.212, 42.37877
1268.140, 44.59730
1270.068, 46.63291
1271.997, 46.90346
1273.925, 46.06935
1275.854, 45.57475
1277.782, 45.62235
1279.711, 46.00191
1281.639, 47.05164
1283.568, 47.90369
1285.496, 47.71277
1287.425, 46.59586
1289.353, 46.07238
1291.282, 46.68975
1293.210, 46.97574
1295.139, 45.77670
1297.067, 44.28257
1298.995, 44.15690
1300.924, 45.29817
1302.852, 46.18842
1304.781, 46.56161
1306.709, 46.81903
1308.638, 46.97992
1310.566, 46.77221
1312.495, 46.55700
1314.423, 46.53132
1316.352, 47.01858
1318.280, 48.67920
1320.209, 49.58366
1322.137, 48.68584
1324.066, 46.74873
1325.994, 45.72215
1327.922, 46.03082
1329.851, 46.49330
1331.779, 47.40638
1333.708, 48.18557
1335.636, 48.34921
1337.565, 48.10439
1339.493, 47.45983
1341.422, 45.97813
1343.350, 45.25080
1345.279, 46.48916
1347.207, 48.15252
1349.136, 49.05526
1351.064, 49.19696
1352.993, 49.06347
1354.921, 48.50238
1356.849, 48.28957
1358.778, 49.08326
1360.706, 49.85857
1362.635, 49.52167
1364.563, 47.81795
1366.492, 47.09296
1368.420, 48.44856
1370.349, 49.39585
1372.277, 49.11648
1374.206, 48.34426
1376.134, 47.87954
1378.063, 47.70118
1379.991, 47.91123
1381.920, 49.02948
1383.848, 49.88979
1385.776, 50.07580
1387.705, 49.97218
1389.633, 49.73662
1391.562, 49.23109
1393.490, 48.83989
1395.419, 48.66236
1397.347, 48.65387
1399.276, 48.74093
1401.204, 48.92120
1403.133, 49.24873
1405.061, 49.71999
1406.990, 50.37318
1408.918, 51.41865
1410.847, 52.38232
1412.775, 53.44743
1414.703, 54.18666
1416.632, 53.36982
1418.560, 49.87165
1420.489, 48.13784
1422.417, 49.88121
1424.346, 51.79198
1426.274, 52.66183
1428.203, 52.69744
1430.131, 52.24591
1432.060, 50.59626
1433.988, 50.03638
1435.917, 51.67201
1437.845, 53.20348
1439.774, 53.25236
1441.702, 52.49854
1443.630, 52.59900
1445.559, 53.74451
1447.487, 54.63404
1449.416, 55.41517
1451.344, 55.45760
1453.273, 53.33463
1455.201, 50.75673
1457.130, 50.82749
1459.058, 53.84424
1460.987, 56.20797
1462.915, 57.32549
1464.844, 57.66046
1466.772, 56.91028
1468.701, 55.74029
1470.629, 55.28450
1472.557, 55.65495
1474.486, 55.98363
1476.414, 55.74063
1478.343, 56.00014
1480.271, 57.88115
1482.200, 60.12520
1484.128, 60.71052
1486.057, 59.11875
1487.985, 58.94746
1489.914, 61.73009
1491.842, 64.02290
1493.771, 64.93632
1495.699, 65.07448
1497.628, 64.91157
1499.556, 64.26576
1501.484, 64.31696
1503.413, 65.76975
1505.341, 67.13209
1507.270, 68.07398
1509.198, 68.75489
1511.127, 69.22793
1513.055, 69.77962
1514.984, 70.99406
1516.912, 72.87020
1518.841, 74.90903
1520.769, 76.70267
